count	delay	accuracy
1076	1000.0	3.00
1077	1000.0	3.00
1078	1000.0	3.00
1079	1000.0	3.00
1080	1000.0	3.00
1081	1000.0	3.00
1082	1000.0	3.00
1083	1000.0	3.00
1084	1000.0	3.00
1085	1000.0	3.00
1086	1000.0	3.00
1087	1000.0	3.00
1088	1000.0	3.00
1089	1000.0	3.00
1090	1000.0	3.00
1091	1000.0	3.00
1092	1000.0	3.00
1093	1000.0	3.00
1094	1000.0	3.00
1095	1000.0	3.00
1096	1000.0	3.00
1097	1000.0	3.00
1098	1000.0	3.00
1099	1000.0	3.00
1100	0.0	3.00
1101	0.0	3.00
