count	battery
0	1.0
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	0.99
19	0.99
20	0.99
21	0.99
22	0.99
23	0.99
24	0.99
25	0.99
26	0.99
27	0.99
28	0.99
29	0.99
30	0.99
31	0.99
32	0.99
33	0.99
34	0.99
35	0.99
36	0.99
37	0.99
38	0.99
39	0.99
40	0.99
41	0.99
42	0.99
43	0.99
44	0.99
45	0.99
46	0.98
47	0.98
48	0.98
49	0.98
50	0.98
51	0.98
52	0.98
53	0.98
54	0.98
55	0.98
56	0.98
57	0.98
58	0.98
59	0.98
60	0.98
61	0.98
62	0.98
63	0.98
64	0.98
65	0.98
66	0.98
67	0.98
68	0.98
69	0.98
70	0.98
71	0.98
72	0.98
73	0.98
74	0.98
75	0.98
76	0.98
77	0.98
78	0.98
79	0.98
80	0.98
81	0.98
82	0.98
83	0.98
84	0.98
85	0.98
86	0.98
87	0.98
88	0.98
89	0.98
90	0.98
91	0.98
92	0.98
93	0.98
94	0.97
95	0.97
96	0.97
97	0.97
98	0.97
99	0.97
100	0.97
101	0.97
102	0.97
103	0.97
104	0.97
105	0.97
106	0.97
107	0.97
108	0.97
109	0.97
110	0.97
111	0.97
112	0.97
113	0.97
114	0.97
115	0.97
116	0.97
117	0.97
118	0.97
119	0.97
120	0.97
121	0.97
122	0.97
123	0.97
124	0.97
125	0.97
126	0.97
127	0.97
128	0.97
129	0.97
130	0.97
131	0.97
132	0.97
133	0.97
134	0.97
135	0.97
136	0.97
137	0.97
138	0.97
139	0.97
140	0.97
141	0.97
142	0.97
143	0.96
144	0.96
145	0.96
146	0.96
147	0.96
148	0.96
149	0.96
150	0.96
151	0.96
152	0.96
153	0.96
154	0.96
155	0.96
156	0.96
157	0.96
158	0.96
159	0.96
160	0.96
161	0.96
162	0.96
163	0.96
164	0.96
165	0.96
166	0.96
167	0.96
168	0.96
169	0.96
170	0.96
171	0.96
172	0.96
173	0.96
174	0.96
175	0.96
176	0.96
177	0.96
178	0.96
179	0.95
180	0.95
181	0.95
182	0.95
183	0.95
184	0.95
185	0.95
186	0.95
187	0.95
188	0.95
189	0.95
190	0.95
191	0.95
192	0.95
193	0.95
194	0.95
195	0.95
196	0.95
197	0.95
198	0.95
199	0.95
200	0.95
201	0.95
202	0.95
203	0.95
204	0.95
205	0.95
206	0.95
207	0.95
208	0.95
